19-9-2 上午12:33
项目统计数据

       	 片段数	   单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	8907	278357	  2092221	  2393016	2903	
剩余片段：  	8907	278357	  2092221	  2393016	2903	
独特片段：  	6674	222219	  1671045	  1910015	2630	
剩余独特片段：	6674	222219	  1671045	  1910015	2630	


各文件统计数据：

文件名                                                                                                                       	总片段数	剩余片段数	独特片段数	剩余独特片段数	总单词数	剩余单词数	独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
biomes/instance/avikanoutpost.biome.patch                                                                                 	   1	    1	    1	      1	   7	    7	    7	      7	        69	         69	         69	           69	        79	         79	         79	           79	
biomes/instance/centensskycity.biome.patch                                                                                	   1	    1	    1	      1	   6	    6	    6	      6	        55	         55	         55	           55	        64	         64	         64	           64	
biomes/instance/elithia-snowy.biome.patch                                                                                 	   1	    1	    1	      1	   7	    7	    7	      7	        64	         64	         64	           64	        74	         74	         74	           74	
biomes/instance/elithia.biome.patch                                                                                       	   1	    1	    1	      1	   6	    6	    6	      6	        59	         59	         59	           59	        68	         68	         68	           68	
biomes/surface_detached/thea-desertwetlands.biome.patch                                                                   	   1	    1	    1	      1	   6	    6	    6	      6	        60	         60	         60	           60	        69	         69	         69	           69	
cinematics/respawn/aegi/respawncasual.cinematic.patch                                                                     	   1	    1	    1	      1	  11	   11	   11	     11	        68	         68	         68	           68	        80	         80	         80	           80	
cinematics/respawn/aegi/respawnsurvival.cinematic.patch                                                                   	   1	    1	    1	      1	  11	   11	   11	     11	        68	         68	         68	           68	        80	         80	         80	           80	
cinematics/respawn/akkimari/respawncasual.cinematic.patch                                                                 	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/akkimari/respawnsurvival.cinematic.patch                                                               	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/avikan/respawncasual.cinematic.patch                                                                   	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/avikan/respawnsurvival.cinematic.patch                                                                 	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/droden/respawncasual.cinematic.patch                                                                   	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/droden/respawnsurvival.cinematic.patch                                                                 	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/trink/respawncasual.cinematic.patch                                                                    	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
cinematics/respawn/trink/respawnsurvival.cinematic.patch                                                                  	   1	    1	    0	      0	  11	   11	    0	      0	        68	         68	          0	            0	        80	         80	          0	            0	
codex/aegi/aaepamphlet.codex.patch                                                                                        	   3	    3	    3	      3	 182	  182	  182	    182	      1123	       1123	       1123	         1123	      1307	       1307	       1307	         1307	
codex/aegi/aegiambassadornotes.codex.patch                                                                                	   8	    8	    8	      8	 298	  298	  298	    298	      1599	       1599	       1599	         1599	      1898	       1898	       1898	         1898	
